,CensusTract,State,County,Urban,Rural,LATracts_half,LATracts10,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,lapophalf,lalowihalf,lapop10,lalowi10
54356,41001950100,OR,Baker,0,1,1,1,0,1211,6.0,0.0021731,0,2761,2760.447248,746.0494763,1199.084967,392.5795269
54357,41001950200,OR,Baker,1,0,1,0,0,1371,0.0,0.0,0,3145,3102.550397,1162.671562,0.0,0.0
54358,41001950300,OR,Baker,0,1,1,1,0,1152,6.0,0.0022659,1,2648,2561.870453,1224.967031,651.6107929,333.3673158
54359,41001950400,OR,Baker,1,0,1,0,0,1354,45.0,0.0148711,1,3026,860.7014859,367.6639762,0.0,0.0
54360,41001950500,OR,Baker,0,1,1,0,0,1013,305.0,0.1159696,1,2630,2267.683946,992.1365843,140.6916879,54.27113486
54361,41001950600,OR,Baker,0,1,1,1,0,939,11.0,0.0057173,1,1924,1924.000002,840.2384555,1924.000002,840.2384555
54362,41003000100,OR,Benton,1,0,1,0,0,2921,64.0,0.0090664,1,7059,5802.298448,2512.992464,0.0,0.0
54363,41003000202,OR,Benton,1,0,1,0,0,2255,0.0,0.0,0,5234,3675.178539,960.0227418,0.0,0.0
54364,41003000400,OR,Benton,1,0,1,0,0,3297,5.0,0.0006394,0,7820,5748.295124,1084.526048,0.0,0.0
54365,41003000500,OR,Benton,0,1,1,0,0,1298,54.0,0.017192,0,3141,3140.999983,433.4555335,0.0,0.0
54366,41003000600,OR,Benton,1,0,1,0,0,2090,142.0,0.0293086,1,4845,4478.021191,2148.711635,0.0,0.0
54367,41003000900,OR,Benton,1,0,1,0,0,2388,41.0,0.0075395,0,5438,3489.300113,714.7290792,0.0,0.0
54368,41003001001,OR,Benton,1,0,1,0,0,1740,19.0,0.004907,1,3872,631.4120919,291.7739945,0.0,0.0
54369,41003001002,OR,Benton,1,0,0,0,0,1330,18.0,0.005698,1,3159,8.708265305,4.806573391,0.0,0.0
54370,41003001101,OR,Benton,1,0,0,0,0,1340,947.0,0.2586018,1,3662,0.0,0.0,0.0,0.0
